UF;FATURA;DOCUMENTO;LOCAL;MEIO;C;S;LOCAL-ORIG;FONE-ORIG;CJ-ORIG;SU-ORIG;PAG;LINHA;LOCAL-DEST;LOCAL-DEST;DDD-DEST;FONE-DEST;HORA;COD;DESC-RESU-COD;VALOR;DURACAO;DEGRAU;GRUPO-HOR;PULSOS;CONCESSIONARIA;PERC-ICMS;PERC-IMPOSTO;COD-EMPRESA;PROD;BLQ-PRESTADORA;NOTA-FISCAL;SERIE-NF;BLOCO;DT-SERVICO;VLR-SERVICO-ICMS;VLR-IMPOSTO;DT-VENC;DT-RECEB;DT-FATURA;DT-COBRANCA;DT-NOVO-VENC;DT-CAIXA;DT-CONTA;CLIENTE;NRC
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0012;COD AREA 84    ;38193;84;0000999920140;18:15:11;60727;VC1 MESM.AR.TAR.BD A TIM      ;+0000000,20;000:00:42;00;2;0000000;000;30,0000;30,0000;OI S.A.                  ;070;001;0000000112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;+000000,060;+000000,060;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0013;COD AREA 84    ;38193;84;0000999686739;18:18:11;60736;VC1 MESM.AR.TAR.BD A VIVO     ;+0000000,14;000:00:30;00;2;0000000;000;30,0000;30,0000;OI S.A.                  ;070;001;0000000112295;B;LIGACOES LOCAIS PARA CELULAR              ;20210831;+000000,042;+000000,042;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32722470;0;9;0001;0014;COD AREA 81    ;38190;81;0000987964551;07:41:40;68331;VC2 NORMAL - OFF NET          ;+0000001,40;000:01:36;00;2;0000000;031;30,0000;30,0000;OI S.A.                  ;190;001;0000000112295;B;LIG. LONGA DISTANCIA NACIONAL PARA CELULAR;20210920;+000000,420;+000000,420;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32724337;0;4;0001;0015;               ;00000;00;0000000000000;00:00:00;10538;ASSINATURA BASICA N/RES       ;+0000099,37;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;010;001;0000000112295;B;SERVICOS MENSAIS                          ;20210924;+000029,811;+000029,811;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32724337;0;4;0001;0016;               ;00000;00;0000000000000;00:00:00;10538;ASSINATURA BASICA N/RES       ;+0000099,37;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;010;001;0000000112295;B;SERVICOS MENSAIS                          ;20210924;+000029,811;+000029,811;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32724337;0;4;0001;0017;               ;00000;00;0000000000000;00:00:00;60057;CHAM.LC BILHETADA AGLUTINADO  ;+0000000,00;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;050;001;0000000112295;B;LIGACOES LOCAIS                           ;20210924;+000000,000;+000000,000;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32724860;0;6;0001;0018;               ;00000;00;0000000000000;00:00:00;10538;ASSINATURA BASICA N/RES       ;+0000099,37;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;010;001;0000000112295;B;SERVICOS MENSAIS                          ;20210924;+000029,811;+000029,811;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32724860;0;6;0001;0019;               ;00000;00;0000000000000;00:00:00;10538;ASSINATURA BASICA N/RES       ;+0000099,37;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;010;001;0000000112295;B;SERVICOS MENSAIS                          ;20210924;+000029,811;+000029,811;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32724860;0;6;0001;0020;               ;00000;00;0000000000000;00:00:00;60057;CHAM.LC BILHETADA AGLUTINADO  ;+0000000,00;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;050;001;0000000112295;B;LIGACOES LOCAIS                           ;20210924;+000000,000;+000000,000;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
RN;1000038500067;00394429009329;18500;2012310   ;0;1;03222;32725372;0;5;0001;0021;               ;00000;00;0000000000000;00:00:00;10538;ASSINATURA BASICA N/RES       ;+0000099,37;000:00:00;00;0;0000000;000;30,0000;30,0000;OI S.A.                  ;010;001;0000000112295;B;SERVICOS MENSAIS                          ;20210924;+000029,811;+000029,811;20211101;00000000;20211001;00000000;20211101;00000000;202109;COMANDO DA AERONAUTICA                                ;1000000000177
